"Time","Type","Ability","Amount","Source → Target",""
"00:39:01.398","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:08.793","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:10.881","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:11.707","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:16.116","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:23.381","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:26.027","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:30.686","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:30.689","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:37.964","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:45.241","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:52.518","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:54.568","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:39:59.811","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:07.089","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:08.533","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:09.742","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:14.380","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:21.650","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:28.949","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:36.213","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:37.841","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:38.597","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:43.345","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:50.657","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:52.311","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:53.477","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:40:57.950","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:05.220","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:12.470","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:19.875","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:19.879","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:41:21.465","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
