"Time","Type","Ability","Amount","Source → Target",""
"00:00:04.286","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:04.289","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:05.917","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:07.147","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:11.516","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:18.848","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:26.132","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:33.327","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:35.445","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:36.272","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:40.695","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:47.876","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:55.250","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:57.496","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:00:57.709","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:02.460","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:09.743","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:17.097","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:18.871","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:24.321","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:31.604","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:38.820","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:40.476","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:41.272","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:46.048","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:53.451","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:55.126","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:01:56.146","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:02:00.646","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:02:02.556","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:02:03.355","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:02:07.958","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:02:15.294","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:02:22.583","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:02:24.380","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
