"Time","Type","Ability","Source → Target",""
"00:54:34.376","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:54:36.819","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:54:40.745","Cast","Arcane Blast 1.51 sec","Blinkladen → Training Dummy 1",""
"00:54:41.628","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:54:44.097","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:54:48.126","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:54:48.958","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:54:51.382","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:54:55.375","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:54:56.188","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:54:58.624","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:02.680","Cast","Arcane Blast 1.66 sec","Blinkladen → Training Dummy 1",""
"00:55:03.488","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:55:05.931","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:09.952","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:55:10.737","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:55:13.205","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:17.204","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:55:18.035","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:20.486","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:22.029","Cast","Ice Cold","Blinkladen",""
"00:55:24.548","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:55:25.356","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:55:27.785","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:31.805","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:55:32.292","Cast","Prismatic Barrier","Blinkladen",""
"00:55:35.037","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:39.020","Cast","Arcane Blast 1.53 sec","Blinkladen → Training Dummy 1",""
"00:55:39.917","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:55:42.291","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:46.374","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:55:47.112","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:55:49.613","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:55:53.593","Cast","Arcane Blast 1.59 sec","Blinkladen → Training Dummy 1",""
"00:55:54.479","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:55:56.888","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:00.881","Cast","Arcane Blast 1.59 sec","Blinkladen → Training Dummy 1",""
"00:56:01.722","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:56:04.187","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:08.222","Cast","Arcane Blast 1.68 sec","Blinkladen → Training Dummy 1",""
"00:56:09.035","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:11.390","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:15.500","Cast","Arcane Blast 1.62 sec","Blinkladen → Training Dummy 1",""
"00:56:16.313","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:18.728","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:22.680","Cast","Arcane Blast 1.51 sec","Blinkladen → Training Dummy 1",""
"00:56:23.598","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:56:26.020","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:29.951","Cast","Arcane Blast 1.53 sec","Blinkladen → Training Dummy 1",""
"00:56:30.901","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:33.314","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:37.332","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
"00:56:38.159","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:56:40.534","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:44.508","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
"00:56:45.464","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:47.863","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:51.798","Cast","Arcane Blast 1.52 sec","Blinkladen → Training Dummy 1",""
"00:56:52.742","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:55.158","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:56:59.021","Cast","Arcane Blast 1.44 sec","Blinkladen → Training Dummy 1",""
"00:57:00.014","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:57:02.437","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:57:06.361","Cast","Arcane Blast 1.53 sec","Blinkladen → Training Dummy 1",""
"00:57:07.229","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:57:09.703","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:57:13.756","Cast","Arcane Blast 1.64 sec","Blinkladen → Training Dummy 1",""
"00:57:14.541","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:57:17.012","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:57:21.019","Cast","Arcane Blast 1.59 sec","Blinkladen → Training Dummy 1",""
"00:57:21.767","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:57:24.284","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:57:28.318","Cast","Arcane Blast 1.60 sec","Blinkladen → Training Dummy 1",""
