"Time","Type","Ability","Source → Target",""
"00:36:22.204","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:36:24.626","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:36:28.648","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:36:29.487","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:36:31.910","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:36:35.911","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:36:36.710","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:36:39.149","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:36:43.179","Cast","Arcane Blast 1.59 sec","Blinkladen → Training Dummy 1",""
"00:36:44.003","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:36:46.396","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:36:50.501","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:36:51.301","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:36:53.698","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:36:57.654","Cast","Arcane Blast 1.53 sec","Blinkladen → Training Dummy 1",""
"00:36:58.607","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:37:01.030","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:37:04.946","Cast","Arcane Blast 1.56 sec","Blinkladen → Training Dummy 1",""
"00:37:05.869","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:37:08.299","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:37:12.341","Cast","Arcane Blast 1.69 sec","Blinkladen → Training Dummy 1",""
"00:37:13.174","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:37:15.598","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:37:19.494","Cast","Arcane Blast 1.46 sec","Blinkladen → Training Dummy 1",""
"00:37:20.404","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:37:22.834","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:37:26.786","Cast","Arcane Blast 1.50 sec","Blinkladen → Training Dummy 1",""
